utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2020-10-12 20:45:01	594894	65.33		SVPA-25		
2020-10-14 01:45:01	596384	64.16		SVPA-25		
2020-10-31 10:45:11	620138	61.28		SVPA-25		
2020-11-04 22:30:11	627003	65.7		SVPA-25		
2020-11-14 11:15:06	643877	62.26		SVPA-25		
2020-11-18 14:15:08	651625	63.53		SVPA-25		
2020-11-26 00:45:03	679707	62.9		SVPA-25		
2020-12-09 18:15:09	706881	63.68		SVPA-25		
2020-12-18 05:00:09	720478	63.8		SVPA-25		
2020-12-19 18:00:10	723074	64.61		SVPA-25		
2020-12-22 13:00:12	727731	66.17		SVPA-25		
2021-01-01 03:45:07	744378	64.81		SVPA-25		
2021-01-03 16:45:08	748734	67.26		SVPA-25		
2021-01-14 00:15:07	764731	69.02		SVPA-25		
2021-02-03 07:00:27	795738	60.92		SVPA-25		
2021-02-05 23:44:59	799980	63.85		SVPA-25		
2021-02-07 12:45:00	802466	64.06		SVPA-25		
2021-02-17 12:45:07	818375	61.44		SVPA-25		
2021-02-23 07:45:11	827962	67.73		SVPA-25		
2021-03-21 15:30:04	869178	61.32		SVPA-25		
2021-03-25 15:30:06	875189	62.14		SVPA-25		
2021-04-19 16:29:59	913208	62.85		SVPA-25		
2021-05-01 14:00:03	931663	62.93		SVPA-25		
2021-05-07 19:30:22	941214	62.89		SVPA-25		
2021-05-14 13:45:05	961659	62.41		SVPA-25		
2021-05-17 15:15:05	967017	63.11		SVPA-25		
2021-05-25 14:45:07	979866	62.73		SVPA-25		
2021-05-28 20:15:07	984388	63.93		SVPA-25		
2021-06-03 12:15:08	991560	64.15		SVPA-25		
2021-06-14 22:15:10	1007251	62.84		SVPA-25		
2021-06-22 13:00:10	1017697	62.35		SVPA-25		
2021-06-27 13:00:11	1024562	62.18		SVPA-25		
2021-09-20 16:45:08	1135953	61.9		SVPA-25		
2021-09-29 10:00:10	1148695	61.72		SVPA-25		
2021-10-01 09:00:10	1151770	62.92		SVPA-25		
2021-10-11 13:15:07	1167698	60.98		SVPA-25		
2021-10-15 21:15:09	1174846	61.47		SVPA-25		
2021-10-23 15:45:02	1188234	60.71		SVPA-25		
2021-10-27 16:45:04	1194682	64.4		SVPA-25		
2021-10-29 19:45:04	1198298	69.43		SVPA-25		
2021-11-05 12:15:09	1209728	64.04		SVPA-25		
2021-11-13 11:45:08	1224730	71.57		SVPA-25		
2021-11-15 11:15:09	1228084	70.89		SVPA-25		
2021-11-27 04:00:11	1247833	66.14		SVPA-25		
2021-11-28 21:00:04	1250747	67.46		SVPA-25		
2022-01-08 02:44:30	1311354	68.47		SVPA-25		
2022-01-13 06:59:56	1319441	71.39		SVPA-25		
2022-01-21 10:15:00	1332176	68.24		SVPA-25		
2022-03-01 23:00:03	1393721	74.17		SVPA-25		
2022-03-16 07:00:06	1416541	63.7		SVPA-25		
2022-03-24 14:45:09	1429881	63.5		SVPA-25		
2022-04-05 00:00:02	1448425	63.33		SVPA-25		
2022-04-26 12:15:01	1483150	61.41		SVPA-25		
2022-05-03 12:15:04	1494566	62.11		SVPA-25		
2022-05-08 00:00:05	1501392	64.71		SVPA-25		
2022-05-17 04:00:08	1513040	64.28		SVPA-25		
2022-05-26 13:15:15	1526437	62.65		SVPA-25		
2022-05-28 02:44:59	1528546	63.89		SVPA-25		
2022-05-30 13:59:59	1531628	64.19		SVPA-25		
2022-06-04 09:14:59	1537709	64.28		SVPA-25		
2022-06-06 12:29:59	1540119	64.97		SVPA-25		
2022-06-10 17:45:01	1553986	66.74		SVPA-25		
