,agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
0,USGS,12149000,00060,180583,,1930,2484.0,365
1,USGS,12149000,00060,180583,,1931,2985.0,365
2,USGS,12149000,00060,180583,,1932,4594.0,366
3,USGS,12149000,00060,180583,,1933,5188.0,365
4,USGS,12149000,00060,180583,,1934,4823.0,365
5,USGS,12149000,00060,180583,,1935,3827.0,365
6,USGS,12149000,00060,180583,,1936,3445.0,366
7,USGS,12149000,00060,180583,,1937,3144.0,365
8,USGS,12149000,00060,180583,,1938,3509.0,365
9,USGS,12149000,00060,180583,,1939,3624.0,365
10,USGS,12149000,00060,180583,,1940,3091.0,366
11,USGS,12149000,00060,180583,,1941,2314.0,365
12,USGS,12149000,00060,180583,,1942,3224.0,365
13,USGS,12149000,00060,180583,,1943,3689.0,365
14,USGS,12149000,00060,180583,,1944,2815.0,366
15,USGS,12149000,00060,180583,,1945,3551.0,365
16,USGS,12149000,00060,180583,,1946,4166.0,365
17,USGS,12149000,00060,180583,,1947,4137.0,365
18,USGS,12149000,00060,180583,,1948,4737.0,366
19,USGS,12149000,00060,180583,,1949,3798.0,365
20,USGS,12149000,00060,180583,,1950,4844.0,365
21,USGS,12149000,00060,180583,,1951,4200.0,365
22,USGS,12149000,00060,180583,,1952,3124.0,366
23,USGS,12149000,00060,180583,,1953,3533.0,365
24,USGS,12149000,00060,180583,,1954,4535.0,365
25,USGS,12149000,00060,180583,,1955,3894.0,365
26,USGS,12149000,00060,180583,,1956,4777.0,366
27,USGS,12149000,00060,180583,,1957,3742.0,365
28,USGS,12149000,00060,180583,,1958,2805.0,365
29,USGS,12149000,00060,180583,,1959,5202.0,365
30,USGS,12149000,00060,180583,,1960,4256.0,366
31,USGS,12149000,00060,180583,,1961,4228.0,365
32,USGS,12149000,00060,180583,,1962,3500.0,365
33,USGS,12149000,00060,180583,,1963,3239.0,365
34,USGS,12149000,00060,180583,,1964,4491.0,366
35,USGS,12149000,00060,180583,,1965,3825.0,365
36,USGS,12149000,00060,180583,,1966,3208.0,365
37,USGS,12149000,00060,180583,,1967,3708.0,365
38,USGS,12149000,00060,180583,,1968,4212.0,366
39,USGS,12149000,00060,180583,,1969,3970.0,365
40,USGS,12149000,00060,180583,,1970,3152.0,365
41,USGS,12149000,00060,180583,,1971,4365.0,365
42,USGS,12149000,00060,180583,,1972,5439.0,366
43,USGS,12149000,00060,180583,,1973,2674.0,365
44,USGS,12149000,00060,180583,,1974,4933.0,365
45,USGS,12149000,00060,180583,,1975,3718.0,365
46,USGS,12149000,00060,180583,,1976,4807.0,366
47,USGS,12149000,00060,180583,,1977,2529.0,365
48,USGS,12149000,00060,180583,,1978,3753.0,365
49,USGS,12149000,00060,180583,,1979,3030.0,365
50,USGS,12149000,00060,180583,,1980,3176.0,366
51,USGS,12149000,00060,180583,,1981,3735.0,365
52,USGS,12149000,00060,180583,,1982,3997.0,365
53,USGS,12149000,00060,180583,,1983,3472.0,365
54,USGS,12149000,00060,180583,,1984,3907.0,366
55,USGS,12149000,00060,180583,,1985,3062.0,365
56,USGS,12149000,00060,180583,,1986,3135.0,365
57,USGS,12149000,00060,180583,,1987,2847.0,365
58,USGS,12149000,00060,180583,,1988,2745.0,366
59,USGS,12149000,00060,180583,,1989,3591.0,365
60,USGS,12149000,00060,180583,,1990,4161.0,365
61,USGS,12149000,00060,180583,,1991,4612.0,365
62,USGS,12149000,00060,180583,,1992,2662.0,366
63,USGS,12149000,00060,180583,,1993,3164.0,365
64,USGS,12149000,00060,180583,,1994,2501.0,365
65,USGS,12149000,00060,180583,,1995,3357.0,365
66,USGS,12149000,00060,180583,,1996,4918.0,366
67,USGS,12149000,00060,180583,,1997,5043.0,365
68,USGS,12149000,00060,180583,,1998,2975.0,365
69,USGS,12149000,00060,180583,,1999,4290.0,365
70,USGS,12149000,00060,180583,,2000,3934.0,366
71,USGS,12149000,00060,180583,,2001,2442.0,365
72,USGS,12149000,00060,180583,,2002,4308.0,365
73,USGS,12149000,00060,180583,,2003,2699.0,365
74,USGS,12149000,00060,180583,,2004,3358.0,366
75,USGS,12149000,00060,180583,,2005,3004.0,365
76,USGS,12149000,00060,180583,,2006,3284.0,365
77,USGS,12149000,00060,180583,,2007,3968.0,365
78,USGS,12149000,00060,180583,,2008,3689.0,366
79,USGS,12149000,00060,180583,,2009,3770.0,365
80,USGS,12149000,00060,180583,,2010,3464.0,365
81,USGS,12149000,00060,180583,,2011,4792.0,365
82,USGS,12149000,00060,180583,,2012,3982.0,366
83,USGS,12149000,00060,180583,,2013,3845.0,365
84,USGS,12149000,00060,180583,,2014,3980.0,365
85,USGS,12149000,00060,180583,,2015,3233.0,365
86,USGS,12149000,00060,180583,,2016,3993.0,366
87,USGS,12149000,00060,180583,,2017,3668.0,365
88,USGS,12149000,00060,180583,,2018,3820.0,365
89,USGS,12149000,00060,180583,,2019,2851.0,365
90,USGS,12149000,00060,180583,,2020,4510.0,366
91,USGS,12149000,00065,180586,,1987,46.15,365
92,USGS,12149000,00065,180586,,1988,46.032,366
93,USGS,12149000,00065,180586,,1989,46.393,365
94,USGS,12149000,00065,180586,,1990,46.754,365
95,USGS,12149000,00065,180586,,1991,47.656,365
96,USGS,12149000,00065,180586,,1993,46.788,365
97,USGS,12149000,00065,180586,,1998,46.792,365
98,USGS,12149000,00065,180586,,1999,47.32,365
99,USGS,12149000,00065,180586,,2000,47.078,366
100,USGS,12149000,00065,180586,,2001,46.3,365
101,USGS,12149000,00065,180586,,2003,46.349,365
102,USGS,12149000,00065,180586,,2005,46.584,365
103,USGS,12149000,00065,180586,,2006,46.709,365
104,USGS,12149000,00065,180586,,2009,47.433,365
105,USGS,12149000,80155,180585,,1967,392.8,365
106,USGS,12149000,80155,180585,,1968,1016.0,366
